aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
B73215;-1000.0 : 32.0|2500.0 : 39.0|8200.0 : 39.0|8201.0 : 34.0|37000.0 : 34.0;-1000.0 : -70.0|0.0 : -70.0|1.0 : -89.0|36089.0 : -17.5|37000.0 : -17.5;-1000.0 : 32.0|2500.0 : 39.0|8200.0 : 39.0;-1000.0 : -70.0|0.0 : -70.0|8200.0 : -52.7
F100;0.0 : 30.0|2524.0 : 35.0|35000.0 : 35.0;0.0 : -69.0|35000.0 : -15.7;0.0 : 30.0|2524.0 : 35.0|8000.0 : 35.0;0.0 : -69.0|8000.0 : -56.9
A320;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0|10001.0 : 35.0|36089.0 : 35.0|39800.0 : 27.6|41100.0 : 25.1;-2000.0 : -73.0|18246.0 : -32.9|36089.0 : -11.2|39100.0 : -13.5|41100.0 : -15.0;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0|10001.0 : 35.0|14100.0 : 35.0;-2000.0 : -73.0|14100.0 : -41.1
B772;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32000.0 : -26.6|36089.0 : -18.5|43100.0 : -18.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
E135;-1000.0 : 35.0|37000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
A321;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0|10001.0 : 35.0|36089.0 : 35.0|39800.0 : 27.6;-2000.0 : -57.5|0.0 : -55.0|36089.0 : -10.7|39800.0 : -13.5;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0|10001.0 : 35.0|14100.0 : 35.0;-2000.0 : -57.5|14100.0 : -37.7
B773;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
A300B4-622;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 39.8|10001.0 : 34.8|36089.0 : 34.3|40000.0 : 26.5;-1000.0 : -57.0|36089.0 : -10.6|40000.0 : -13.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 39.8;-1000.0 : -57.0|8500.0 : -45.2
A330-341;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5;-2000.0 : -73.0|35000.0 : -19.7|36089.0 : -17.5|41100.0 : -17.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
B788GE67;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
A330-223;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
EMB-135BJ-Legacy600;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8500.0 : 35.0;-1000.0 : -57.0|8500.0 : -38.2
A350-941;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|43100.0 : 20.5;-2000.0 : -73.0|25000.0 : -40.5|32500.0 : -30.6|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|12500.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|12500.0 : -27.7
E35L;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8500.0 : 35.0;-1000.0 : -57.0|8500.0 : -38.2
EMB-145XR;-1000.0 : 35.0|37000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5;-1000.0 : 35.0|10000.0 : 35.0;-1000.0 : -57.0|10000.0 : -35.2
